Date,Activity,Activity type,Unit,Amount planned
2025-07-22,Subbase application,Road,m2,2732.1709765999376
2025-05-21,Ballast,Railway,m3,1432.2036837057406
2025-10-29,Laying steel rail,Railway,m,2437.6742693890087
2025-08-13,Pavement,Road,m2,2805.441270378278
2025-09-19,Iron mining,Railway,m3,1097.5419489577976
2025-02-09,Laying steel rail,Railway,m,1886.0467479884164
2025-07-02,Ballast,Railway,m3,2594.119588031323
2025-07-20,Cement making,Building,m3,552.0263119129187
2025-09-02,Cement making,Building,m3,2769.993527162618
2025-11-17,Cement making,Building,m3,741.320412230353
2025-11-21,Foundation pouring,Building,m3,1505.8451041184073
2025-06-06,Pavement,Road,m2,919.0779036266678
2025-07-03,Foundation pouring,Building,m3,4953.564946009296
2025-11-27,Terrain leveling,Building,m3,788.7152120530899
2025-11-27,Foundation pouring,Building,m3,61.193170552292784
2025-05-06,Anchorage,Railway,m2,2784.4387058062944
2025-02-09,Removing trees,Building,m2,2170.3772242901327
2025-06-12,Anchorage,Railway,m2,1069.356683417816
2025-02-24,Foundation pouring,Building,m3,2294.694543856361
2025-06-03,Cement making,Building,m3,40.03430048688583
2025-06-16,Laying steel rail,Railway,m,2257.944294949655
2025-10-25,Coat preparation,Road,L,4788.340157527965
2025-05-14,Coat preparation,Road,L,2604.322308582306
2025-02-27,Coat preparation,Road,L,4662.099283122431
2025-02-25,Laying steel rail,Railway,m,1615.5662360061867
2025-02-26,Coat preparation,Road,L,2299.148069837109
2025-09-14,Removing trees,Building,m2,3771.400821756985
2025-05-03,Iron mining,Railway,m3,71.01998288416456
2025-05-07,Pavement,Road,m2,2065.9838094576844
2025-12-29,Terrain leveling,Building,m3,2283.185735360113
2025-08-09,Iron mining,Railway,m3,1101.0105381196572
2025-08-17,Ballast,Railway,m3,2243.409662948216
2025-09-12,Terrain leveling,Building,m3,4281.48421942774
2025-06-25,Iron mining,Railway,m3,1167.6182209010744
2025-07-28,Walling,Building,m2,4568.112588252023
2025-12-04,Ballast,Railway,m3,67.35276080999108
2025-03-27,Terrain leveling,Building,m3,4525.402146006686
2025-08-11,Laying steel rail,Railway,m,3212.3864474322904
2025-11-02,Removing trees,Building,m2,4140.747643794206
2025-08-01,Foundation pouring,Building,m3,3428.824671325778
2025-09-04,Walling,Building,m2,2480.4717791999547
2025-06-03,Cement making,Building,m3,1553.7257277426397
2025-06-26,Removing trees,Building,m2,3456.5502614196275
2025-04-11,Terrain leveling,Building,m3,2483.113049855563
2025-06-15,Terrain leveling,Building,m3,3174.740313984723
2025-05-15,Foundation pouring,Building,m3,3816.703393528206
2025-07-09,Walling,Building,m2,3752.4487665364754
2025-01-05,Pavement,Road,m2,4499.639866395869
2025-03-03,Terrain leveling,Building,m3,473.7627210965073
2025-03-07,Removing trees,Building,m2,4703.241219386094
2025-03-21,Subbase application,Road,m2,3389.806198413784
2025-02-09,Terrain leveling,Building,m3,571.8993725824967
2025-04-24,Laying steel rail,Railway,m,3284.555245826056
2025-09-04,Anchorage,Railway,m2,2224.781013259286
2025-02-15,Removing trees,Building,m2,3478.3896833005283
2025-05-20,Pavement,Road,m2,3356.3020686819277
2025-10-27,Anchorage,Railway,m2,3512.292722437363
2025-08-24,Iron mining,Railway,m3,3980.1956878641827
2025-01-16,Terrain leveling,Building,m3,1982.4385249824122
2025-11-03,Coat preparation,Road,L,3844.5304977600686
2025-02-15,Cement making,Building,m3,1924.992126796507
2025-10-20,Cement making,Building,m3,79.74901795429368
2025-09-27,Ballast,Railway,m3,2290.733216940618
2025-03-18,Ballast,Railway,m3,4983.587801063797
2025-05-01,Subbase application,Road,m2,4414.434134108379
2025-02-18,Pavement,Road,m2,4984.845081871752
2025-02-25,Ballast,Railway,m3,2549.9527336706396
2025-06-04,Iron mining,Railway,m3,2736.036039340222
2025-08-14,Removing trees,Building,m2,1693.3299163354998
2025-08-01,Ballast,Railway,m3,1671.0108733783775
2025-05-19,Cement making,Building,m3,4096.738176689388
2025-12-11,Subbase application,Road,m2,919.9936675468084
2025-12-13,Terrain leveling,Building,m3,239.25094561678407
2025-01-01,Walling,Building,m2,3127.995035080208
2025-03-10,Terrain leveling,Building,m3,1078.763466298594
2025-03-02,Removing trees,Building,m2,4884.281900522183
2025-09-24,Cement making,Building,m3,1285.0944369781587
2025-07-01,Rolling/Tractor,Road,m2,3286.0652046635464
2025-04-10,Cement making,Building,m3,3828.7483577879193
2025-08-25,Pavement,Road,m2,758.6804088784598
2025-07-02,Removing trees,Building,m2,2863.867888737215
2025-03-18,Terrain leveling,Building,m3,2001.5291668287116
2025-03-12,Coat preparation,Road,L,747.7313736211516
2025-02-10,Ballast,Railway,m3,1672.5707083972814
2025-05-02,Terrain leveling,Building,m3,2342.331413850567
2025-03-20,Rolling/Tractor,Road,m2,1747.201894099068
2025-08-26,Iron mining,Railway,m3,2365.05072828833
2025-01-08,Rolling/Tractor,Road,m2,4957.318352155792
2025-03-16,Removing trees,Building,m2,3523.546258319128
2025-12-08,Cement making,Building,m3,2134.9844860402527
2025-08-14,Foundation pouring,Building,m3,1872.3684735873912
2025-09-24,Pavement,Road,m2,4938.565300906474
2025-06-22,Removing trees,Building,m2,3262.634250543494
2025-11-21,Anchorage,Railway,m2,2347.9179393121894
2025-09-13,Ballast,Railway,m3,3777.700815866941
2025-09-13,Walling,Building,m2,4484.172751473117
2025-04-29,Walling,Building,m2,2623.061655156087
2025-09-19,Pavement,Road,m2,978.0184164126892
2025-03-28,Ballast,Railway,m3,1392.8056717613736
2025-11-22,Subbase application,Road,m2,1.8750018192131845
2025-02-15,Rolling/Tractor,Road,m2,1902.5194086454267
2025-11-06,Terrain leveling,Building,m3,2653.8963698567027
2025-09-06,Anchorage,Railway,m2,4653.406248060975
2025-01-09,Laying steel rail,Railway,m,4077.7777425816134
2025-07-17,Coat preparation,Road,L,2377.976415752248
2025-10-30,Laying steel rail,Railway,m,1198.6098188929238
2025-01-18,Iron mining,Railway,m3,2276.616200598132
2025-06-02,Subbase application,Road,m2,2412.650920073913
2025-07-12,Laying steel rail,Railway,m,358.74495905118044
2025-05-26,Removing trees,Building,m2,4883.391017312664
2025-06-28,Cement making,Building,m3,1483.5631432584446
2025-06-30,Coat preparation,Road,L,2147.539383014268
2025-05-26,Terrain leveling,Building,m3,1094.4010770697698
2025-11-07,Terrain leveling,Building,m3,636.839684324288
2025-07-25,Pavement,Road,m2,4457.588752895208
2025-09-18,Foundation pouring,Building,m3,2073.5334737086487
2025-08-17,Laying steel rail,Railway,m,1261.1631234172644
2025-12-05,Foundation pouring,Building,m3,831.862932859297
2025-01-24,Iron mining,Railway,m3,3369.5396958683496
2025-10-04,Subbase application,Road,m2,1592.6128126103044
2025-05-12,Iron mining,Railway,m3,4145.837901862805
2025-08-09,Iron mining,Railway,m3,3504.0936115049794
2025-01-26,Laying steel rail,Railway,m,181.5438798490937
2025-04-04,Rolling/Tractor,Road,m2,4637.2955062488
2025-03-10,Foundation pouring,Building,m3,1260.7033052028466
2025-07-24,Walling,Building,m2,4555.710390607616
2025-06-05,Pavement,Road,m2,3539.299231562153
2025-11-10,Anchorage,Railway,m2,2066.3973959067475
2025-04-03,Terrain leveling,Building,m3,2955.701594992747
2025-12-01,Removing trees,Building,m2,3667.5299926611947
2025-09-01,Coat preparation,Road,L,2880.2881368420694
2025-11-29,Coat preparation,Road,L,1332.5244565505939
2025-08-01,Subbase application,Road,m2,3646.0784775771554
2025-12-14,Coat preparation,Road,L,4279.936668779972
2025-04-26,Terrain leveling,Building,m3,4421.458230853652
2025-12-10,Iron mining,Railway,m3,463.99260890416906
2025-03-05,Removing trees,Building,m2,4544.108708961378
2025-12-05,Ballast,Railway,m3,2109.6590390579368
2025-04-26,Removing trees,Building,m2,4944.798839583654
2025-05-29,Terrain leveling,Building,m3,4619.688849865318
2025-05-21,Laying steel rail,Railway,m,3272.8070690425225
2025-02-01,Anchorage,Railway,m2,1244.6005645081943
2025-08-28,Laying steel rail,Railway,m,2272.8711126204726
2025-11-03,Subbase application,Road,m2,2659.959910031687
2025-02-09,Removing trees,Building,m2,447.53194939078423
2025-11-09,Foundation pouring,Building,m3,1902.8747433588871
2025-01-31,Foundation pouring,Building,m3,1018.7333549385969
2025-05-20,Ballast,Railway,m3,3329.931043754129
2025-03-05,Ballast,Railway,m3,3238.146902091289
2025-01-24,Ballast,Railway,m3,4454.891114875625
2025-04-25,Rolling/Tractor,Road,m2,3605.837983639458
2025-02-01,Ballast,Railway,m3,773.7330970479417
2025-11-04,Anchorage,Railway,m2,69.91151198600443
2025-06-12,Removing trees,Building,m2,288.7842781589911
2025-05-05,Subbase application,Road,m2,4683.35709291725
2025-11-17,Cement making,Building,m3,2188.93086331888
2025-03-24,Coat preparation,Road,L,3985.5332884928853
2025-04-29,Rolling/Tractor,Road,m2,1549.6724112972838
2025-11-25,Cement making,Building,m3,1911.0265124398318
2025-04-27,Rolling/Tractor,Road,m2,1490.0211603573166
2025-12-18,Anchorage,Railway,m2,4773.81783631707
2025-07-16,Anchorage,Railway,m2,3702.1785291759547
2025-09-12,Removing trees,Building,m2,2654.983639872497
2025-03-15,Iron mining,Railway,m3,1878.1843318059787
2025-01-20,Coat preparation,Road,L,1772.1143720093241
2025-10-06,Walling,Building,m2,2253.341283715064
2025-08-10,Foundation pouring,Building,m3,4422.203276729635
2025-03-20,Anchorage,Railway,m2,2211.548332399405
2025-12-01,Cement making,Building,m3,270.25913730218286
2025-07-02,Foundation pouring,Building,m3,2829.4881507655955
2025-10-03,Laying steel rail,Railway,m,1866.0210876203641
2025-06-13,Walling,Building,m2,2036.0400821390294
2025-11-19,Rolling/Tractor,Road,m2,4682.979435667008
2025-08-22,Walling,Building,m2,2125.841320263512
2025-04-04,Coat preparation,Road,L,4918.868164138015
2025-03-27,Pavement,Road,m2,3071.4731456697214
2025-07-15,Foundation pouring,Building,m3,1115.7278389583626
2025-05-11,Subbase application,Road,m2,1041.5667933375994
2025-02-12,Terrain leveling,Building,m3,1050.7176632523874
2025-03-25,Terrain leveling,Building,m3,850.837841701782
2025-07-27,Subbase application,Road,m2,625.6723330605163
2025-04-30,Coat preparation,Road,L,575.6780477927409
2025-02-10,Anchorage,Railway,m2,4812.885275630811
2025-12-22,Coat preparation,Road,L,4082.8325028812505
2025-06-25,Cement making,Building,m3,2375.0799046006714
2025-12-19,Subbase application,Road,m2,790.6478647404608
2025-02-22,Foundation pouring,Building,m3,4706.700677103932
2025-04-23,Coat preparation,Road,L,1148.4935503310107
2025-07-11,Pavement,Road,m2,2988.584233447249
2025-03-16,Coat preparation,Road,L,3350.7774350524496
2025-02-18,Removing trees,Building,m2,1015.2040231007214
2025-11-22,Pavement,Road,m2,2952.3529816067767
2025-06-11,Coat preparation,Road,L,4758.839809698931
2025-08-03,Iron mining,Railway,m3,3811.3177045379666
2025-06-18,Laying steel rail,Railway,m,3553.4037190387994
2025-03-13,Removing trees,Building,m2,4126.872560861503
2025-09-06,Removing trees,Building,m2,896.8199635240659
2025-05-01,Coat preparation,Road,L,972.0336242577544
2025-09-02,Foundation pouring,Building,m3,328.7640567540195
2025-07-24,Terrain leveling,Building,m3,335.97302997869394
2025-02-11,Rolling/Tractor,Road,m2,793.5258593782013
2025-07-22,Anchorage,Railway,m2,2215.3469511389394
2025-03-09,Removing trees,Building,m2,1858.4734755581956
2025-12-13,Ballast,Railway,m3,3139.2977546098614
2025-08-02,Foundation pouring,Building,m3,2249.1304592641613
2025-08-28,Ballast,Railway,m3,824.3869725066405
2025-11-04,Cement making,Building,m3,1363.678868635087
2025-11-24,Cement making,Building,m3,563.4216658004116
2025-04-05,Ballast,Railway,m3,833.5891555654767
2025-01-23,Cement making,Building,m3,3820.227339292244
2025-04-05,Rolling/Tractor,Road,m2,3253.2521782285944
2025-09-23,Rolling/Tractor,Road,m2,1179.5336113573728
2025-01-20,Foundation pouring,Building,m3,3969.507138074337
2025-11-17,Ballast,Railway,m3,1870.2786440458647
2025-01-15,Walling,Building,m2,1220.7899570242946
2025-12-14,Cement making,Building,m3,2109.194765195751
2025-05-25,Iron mining,Railway,m3,3973.560580492746
2025-03-05,Laying steel rail,Railway,m,1301.2549255978045
2025-08-05,Cement making,Building,m3,2908.428061764947
2025-10-05,Anchorage,Railway,m2,1970.591315332198
2025-01-26,Removing trees,Building,m2,157.0289537644698
2025-04-05,Ballast,Railway,m3,2200.3242877183184
2025-04-26,Cement making,Building,m3,439.68718036146714
2025-02-22,Iron mining,Railway,m3,3337.274590403346
2025-11-18,Iron mining,Railway,m3,168.99809573048265
2025-08-04,Cement making,Building,m3,1007.0041855779239
2025-09-26,Walling,Building,m2,190.9482403889301
2025-11-22,Coat preparation,Road,L,809.6985072014551
2025-11-05,Iron mining,Railway,m3,67.55932294675193
2025-12-23,Anchorage,Railway,m2,886.0500231035601
2025-09-03,Laying steel rail,Railway,m,957.2875952123827
2025-02-01,Terrain leveling,Building,m3,296.93606428114197
2025-06-30,Subbase application,Road,m2,1124.8298037959125
2025-10-26,Anchorage,Railway,m2,3528.0381895376863
2025-04-06,Pavement,Road,m2,2173.287461132887
2025-10-31,Laying steel rail,Railway,m,2571.7777577450547
2025-03-22,Cement making,Building,m3,4110.883648103594
2025-11-14,Pavement,Road,m2,1849.5359891464286
2025-05-25,Foundation pouring,Building,m3,3073.0674011021792
2025-06-05,Anchorage,Railway,m2,4596.9825726544805
2025-09-13,Foundation pouring,Building,m3,3759.685853821074
2025-09-15,Ballast,Railway,m3,4358.695910744553
2025-03-17,Subbase application,Road,m2,4616.166583915608
2025-09-05,Ballast,Railway,m3,523.7759948644582
2025-09-24,Coat preparation,Road,L,2296.8833220901665
2025-07-26,Foundation pouring,Building,m3,3714.810045486105
2025-12-20,Pavement,Road,m2,3667.040367067291
2025-04-14,Coat preparation,Road,L,635.7558824070409
2025-04-19,Foundation pouring,Building,m3,1304.8119933689168
2025-07-16,Foundation pouring,Building,m3,4241.80265546691
2025-03-03,Cement making,Building,m3,3295.814433325101
2025-07-05,Terrain leveling,Building,m3,852.1910085078848
2025-03-13,Foundation pouring,Building,m3,814.3384666794879
2025-05-27,Rolling/Tractor,Road,m2,855.8356509347309
2025-05-02,Terrain leveling,Building,m3,4166.576803956248
2025-03-04,Terrain leveling,Building,m3,2714.264483817148
2025-01-27,Pavement,Road,m2,3346.160716355973
2025-03-05,Coat preparation,Road,L,36.14686632294861
2025-11-26,Terrain leveling,Building,m3,4796.86698369323
2025-12-15,Removing trees,Building,m2,4056.1367063715848
2025-07-12,Cement making,Building,m3,3675.9541350760505
2025-09-09,Foundation pouring,Building,m3,2105.937589652141
2025-05-08,Iron mining,Railway,m3,3008.156420078065
2025-08-08,Rolling/Tractor,Road,m2,3809.7717785419795
2025-08-18,Coat preparation,Road,L,2368.250983777615
2025-11-10,Laying steel rail,Railway,m,3196.56634550029
2025-07-24,Removing trees,Building,m2,2141.997410638661
2025-02-26,Laying steel rail,Railway,m,608.291494072265
2025-02-16,Pavement,Road,m2,2613.204056398132
2025-02-13,Iron mining,Railway,m3,4843.509904741945
2025-11-11,Terrain leveling,Building,m3,3590.1487144466005
2025-09-14,Laying steel rail,Railway,m,4037.191290225691
2025-08-21,Cement making,Building,m3,608.3928769763536
2025-10-06,Ballast,Railway,m3,4206.487708091301
2025-11-07,Terrain leveling,Building,m3,1879.3710079158698
2025-06-06,Ballast,Railway,m3,4536.074693652855
2025-02-09,Removing trees,Building,m2,4654.583560063829
2025-05-21,Terrain leveling,Building,m3,3418.8491510219637
2025-09-15,Walling,Building,m2,4962.715847094466
2025-06-27,Iron mining,Railway,m3,3075.6293133056274
2025-01-10,Anchorage,Railway,m2,2279.8693149891856
2025-04-25,Iron mining,Railway,m3,2552.764533543188
2025-11-10,Cement making,Building,m3,499.01816747055904
2025-08-19,Removing trees,Building,m2,4825.392580148965
2025-03-03,Removing trees,Building,m2,3070.8680305080716
2025-05-31,Coat preparation,Road,L,2136.9563953716893
2025-06-08,Walling,Building,m2,3750.929815312608
2025-09-08,Subbase application,Road,m2,2087.4209476468345
2025-12-11,Anchorage,Railway,m2,2472.6686997699558
2025-11-15,Coat preparation,Road,L,3082.6548589710687
2025-03-20,Pavement,Road,m2,4299.2202783559915
2025-01-12,Rolling/Tractor,Road,m2,799.3001794240229
2025-12-04,Walling,Building,m2,3620.969386982381
2025-09-01,Ballast,Railway,m3,4261.152827296213
2025-10-11,Ballast,Railway,m3,2057.1992850710626
2025-04-14,Iron mining,Railway,m3,1907.0028030525616
2025-07-26,Laying steel rail,Railway,m,290.3634147904477
2025-06-19,Walling,Building,m2,832.7853822311687
2025-11-08,Foundation pouring,Building,m3,3074.0006620763957
2025-01-12,Anchorage,Railway,m2,3873.9199972185133
2025-12-11,Anchorage,Railway,m2,4281.983921379522
2025-06-16,Terrain leveling,Building,m3,4752.351923821555
2025-01-15,Iron mining,Railway,m3,2339.0993593402477
2025-02-05,Pavement,Road,m2,526.964931266814
2025-11-23,Ballast,Railway,m3,31.726289929744354
2025-05-16,Terrain leveling,Building,m3,2669.9426832262
2025-08-30,Removing trees,Building,m2,4242.816107817117
2025-04-26,Laying steel rail,Railway,m,4343.964232403242
2025-10-22,Terrain leveling,Building,m3,2897.026484779307
2025-03-24,Ballast,Railway,m3,708.8318020150186
2025-11-09,Laying steel rail,Railway,m,1508.6974346469983
2025-02-05,Ballast,Railway,m3,4158.627616449523
2025-04-24,Cement making,Building,m3,475.6799209026613
2025-12-27,Iron mining,Railway,m3,333.5376765000886
2025-08-11,Pavement,Road,m2,293.5410878747596
2025-01-26,Rolling/Tractor,Road,m2,3100.201383611714
2025-12-27,Subbase application,Road,m2,3424.443424335102
2025-04-02,Ballast,Railway,m3,4721.352528637785
2025-03-15,Walling,Building,m2,2749.469805942124
2025-04-28,Terrain leveling,Building,m3,2394.4856189932916
2025-06-23,Iron mining,Railway,m3,3578.1721854825955
2025-03-29,Iron mining,Railway,m3,719.5858015153794
2025-04-03,Ballast,Railway,m3,3659.8398069650693
2025-05-01,Removing trees,Building,m2,4431.213690482852
2025-05-12,Ballast,Railway,m3,2721.9989259212025
2025-03-25,Terrain leveling,Building,m3,2608.4604183485253
2025-05-26,Ballast,Railway,m3,4796.9022083666005
2025-07-06,Pavement,Road,m2,4249.863231235214
2025-09-29,Ballast,Railway,m3,139.572285976044
2025-04-14,Cement making,Building,m3,496.0480088304947
2025-09-03,Foundation pouring,Building,m3,4404.019022538563
2025-10-11,Ballast,Railway,m3,2311.787026494306
2025-07-25,Rolling/Tractor,Road,m2,1049.6286915296298
2025-08-15,Foundation pouring,Building,m3,3246.8250212877997
2025-08-04,Iron mining,Railway,m3,4678.868173682205
2025-11-15,Iron mining,Railway,m3,3111.1253848888305
2025-05-07,Terrain leveling,Building,m3,1251.1793563525348
2025-07-15,Coat preparation,Road,L,3389.373521201151
2025-04-13,Terrain leveling,Building,m3,2326.454964389408
2025-05-30,Subbase application,Road,m2,3830.2780827427227
2025-08-14,Iron mining,Railway,m3,724.3531108920181
2025-11-04,Subbase application,Road,m2,4461.450868714966
2025-01-01,Foundation pouring,Building,m3,1161.878874241463
2025-08-19,Removing trees,Building,m2,4867.787386438752
2025-11-03,Cement making,Building,m3,579.4401614085004
2025-02-06,Ballast,Railway,m3,4732.091849261801
2025-12-25,Terrain leveling,Building,m3,1372.6898611378679
2025-11-13,Anchorage,Railway,m2,4657.302583066736
2025-06-22,Rolling/Tractor,Road,m2,3610.9462777538342
2025-08-03,Laying steel rail,Railway,m,190.60896972218467
2025-09-30,Coat preparation,Road,L,2399.298742044621
2025-03-05,Terrain leveling,Building,m3,4755.866769436583
2025-09-22,Anchorage,Railway,m2,3796.4665480114213
2025-02-10,Ballast,Railway,m3,4111.294705535289
2025-09-05,Ballast,Railway,m3,459.28994900860334
2025-07-03,Iron mining,Railway,m3,2708.0875444767703
2025-05-19,Ballast,Railway,m3,4381.952153459846
2025-11-17,Terrain leveling,Building,m3,390.33113352561213
2025-04-08,Foundation pouring,Building,m3,2527.6193809185393
2025-01-05,Anchorage,Railway,m2,4689.822484896778
2025-02-27,Removing trees,Building,m2,2715.44898953826
2025-09-20,Subbase application,Road,m2,3207.853396528521
2025-02-05,Removing trees,Building,m2,1089.5591666335336
2025-04-29,Rolling/Tractor,Road,m2,2400.8323291158113
2025-04-18,Iron mining,Railway,m3,2730.6428499206568
2025-09-03,Coat preparation,Road,L,1393.310806506798
2025-06-12,Cement making,Building,m3,3206.887437722643
2025-12-01,Rolling/Tractor,Road,m2,4110.4235403736675
2025-02-07,Laying steel rail,Railway,m,2939.5584109235333
2025-08-07,Iron mining,Railway,m3,2166.21446007782
2025-05-23,Foundation pouring,Building,m3,3380.2032052692703
2025-06-13,Laying steel rail,Railway,m,3163.4217624855582
2025-09-14,Terrain leveling,Building,m3,3970.5123835288864
2025-02-06,Iron mining,Railway,m3,687.0546533443455
2025-01-23,Terrain leveling,Building,m3,2351.3775722593764
2025-11-11,Rolling/Tractor,Road,m2,3625.891824630524
2025-07-07,Rolling/Tractor,Road,m2,82.9308845446064
2025-03-14,Rolling/Tractor,Road,m2,4084.618047367573
2025-02-04,Laying steel rail,Railway,m,3370.036888812043
2025-09-26,Laying steel rail,Railway,m,2090.8342387698553
2025-07-19,Removing trees,Building,m2,3704.9006858303123
2025-08-09,Subbase application,Road,m2,1326.128459650145
2025-03-10,Anchorage,Railway,m2,3546.607048611099
2025-08-13,Removing trees,Building,m2,1973.6632028857864
2025-03-28,Anchorage,Railway,m2,872.3279431530879
2025-03-27,Coat preparation,Road,L,3465.58192854455
2025-03-28,Cement making,Building,m3,731.8282491485056
2025-09-12,Subbase application,Road,m2,1905.5906584401373
2025-02-23,Subbase application,Road,m2,3500.339471632101
2025-09-09,Subbase application,Road,m2,2443.3405796218703
2025-08-06,Iron mining,Railway,m3,898.7843169266596
2025-03-19,Ballast,Railway,m3,3080.108602062168
2025-09-29,Pavement,Road,m2,1688.0675098618635
2025-01-24,Rolling/Tractor,Road,m2,716.4959566276352
2025-10-21,Removing trees,Building,m2,2258.374245629216
2025-11-04,Ballast,Railway,m3,1623.5855916057485
2025-04-28,Laying steel rail,Railway,m,747.216128710852
2025-12-03,Anchorage,Railway,m2,3574.7077354718326
2025-05-01,Iron mining,Railway,m3,312.7839733073484
2025-08-16,Laying steel rail,Railway,m,1245.5615924624346
2025-01-06,Laying steel rail,Railway,m,3352.818601178566
2025-11-27,Pavement,Road,m2,1040.1693098417948
2025-10-30,Walling,Building,m2,2743.9007863980196
2025-01-28,Removing trees,Building,m2,3577.6459535003446
2025-02-17,Coat preparation,Road,L,2141.3475650787245
2025-06-02,Foundation pouring,Building,m3,1763.045758844542
2025-12-19,Cement making,Building,m3,4444.745495957377
2025-04-17,Rolling/Tractor,Road,m2,3731.9945205737445
2025-12-28,Cement making,Building,m3,2226.8532012201886
2025-02-21,Terrain leveling,Building,m3,2305.176352904415
2025-10-05,Removing trees,Building,m2,1131.8809945357339
2025-10-20,Pavement,Road,m2,1701.1606344768804
2025-10-29,Subbase application,Road,m2,1470.0584270839179
2025-01-12,Walling,Building,m2,1655.029745706938
2025-04-30,Anchorage,Railway,m2,4825.38557479827
2025-05-14,Removing trees,Building,m2,1280.6871289740002
2025-08-03,Coat preparation,Road,L,3918.349468928033
2025-01-22,Subbase application,Road,m2,2735.8421335412204
2025-12-14,Removing trees,Building,m2,1050.3667236842746
2025-11-29,Foundation pouring,Building,m3,2224.1241729811272
2025-01-24,Laying steel rail,Railway,m,3636.358269259884
2025-11-21,Iron mining,Railway,m3,56.567667786858735
2025-07-05,Rolling/Tractor,Road,m2,900.1202778723266
2025-11-14,Terrain leveling,Building,m3,3337.2313944227526
2025-02-01,Iron mining,Railway,m3,2167.3402352112294
2025-11-09,Walling,Building,m2,511.713839047645
2025-05-23,Rolling/Tractor,Road,m2,1105.9243976360756
2025-09-04,Foundation pouring,Building,m3,4183.939143222025
2025-05-26,Laying steel rail,Railway,m,3104.8095187492495
2025-02-04,Rolling/Tractor,Road,m2,2661.3296396166224
2025-08-13,Pavement,Road,m2,1982.0898147138832
2025-02-05,Removing trees,Building,m2,1011.2176004442924
2025-05-15,Coat preparation,Road,L,1711.900020515459
2025-10-13,Pavement,Road,m2,3616.360458518673
2025-12-17,Ballast,Railway,m3,1557.2718549355807
2025-04-14,Ballast,Railway,m3,3403.3206067791284
2025-08-10,Laying steel rail,Railway,m,1202.6817465393951
2025-07-18,Laying steel rail,Railway,m,1917.27885866116
2025-07-19,Pavement,Road,m2,4364.1803891270865
2025-11-22,Coat preparation,Road,L,2047.9425815177337
2025-06-24,Subbase application,Road,m2,195.1647160096198
2025-08-04,Cement making,Building,m3,4525.344926653351
2025-12-22,Rolling/Tractor,Road,m2,239.70872584087977
2025-08-26,Walling,Building,m2,4837.645996013843
2025-06-07,Rolling/Tractor,Road,m2,2959.985615704689
2025-06-05,Laying steel rail,Railway,m,1246.0462313230476
2025-08-17,Walling,Building,m2,2086.1354172611645
2025-10-12,Subbase application,Road,m2,3339.48780013786
2025-04-12,Pavement,Road,m2,421.77727064577954
2025-10-26,Iron mining,Railway,m3,573.2121495969794
2025-09-01,Removing trees,Building,m2,1861.4325150910015
2025-07-30,Anchorage,Railway,m2,4444.094933364713
2025-08-29,Pavement,Road,m2,421.978852395567
2025-09-22,Ballast,Railway,m3,2079.9927279000185
2025-01-22,Subbase application,Road,m2,1102.8516837560958
2025-12-13,Subbase application,Road,m2,2752.5064429750755
2025-04-09,Cement making,Building,m3,522.3539370670916
2025-07-27,Ballast,Railway,m3,2089.3371514742907
2025-11-19,Foundation pouring,Building,m3,1042.8374999340047
2025-06-20,Coat preparation,Road,L,2974.922242634748
2025-10-09,Iron mining,Railway,m3,617.7403292313849
2025-09-22,Removing trees,Building,m2,1431.8038262202042
2025-05-30,Coat preparation,Road,L,2849.953196137412
2025-08-02,Laying steel rail,Railway,m,3300.0682032266177
2025-11-17,Foundation pouring,Building,m3,834.5636363080511
2025-09-19,Terrain leveling,Building,m3,1642.4766303179001
2025-04-09,Anchorage,Railway,m2,719.88701498655
2025-02-25,Cement making,Building,m3,347.20779953426427
2025-07-05,Terrain leveling,Building,m3,2618.4041225494852
2025-07-02,Removing trees,Building,m2,3961.459826260352
2025-08-26,Ballast,Railway,m3,4452.736112311749
2025-02-20,Rolling/Tractor,Road,m2,3934.900674617064
2025-10-02,Pavement,Road,m2,2559.4151805262854
2025-10-11,Cement making,Building,m3,3983.868124792447
2025-07-14,Anchorage,Railway,m2,3782.6548550226917
2025-08-02,Foundation pouring,Building,m3,491.42755792143834
2025-01-17,Rolling/Tractor,Road,m2,4368.648031292579
2025-10-01,Anchorage,Railway,m2,3755.424123045184
2025-05-31,Terrain leveling,Building,m3,4074.579550251538
2025-06-05,Coat preparation,Road,L,2491.3751673235097
2025-10-16,Rolling/Tractor,Road,m2,4501.346068550247
2025-11-13,Anchorage,Railway,m2,2528.7200431658007
2025-09-25,Terrain leveling,Building,m3,2070.129086724474
2025-05-24,Rolling/Tractor,Road,m2,2831.1888402104914
2025-09-15,Subbase application,Road,m2,1225.0306169081632
2025-07-23,Rolling/Tractor,Road,m2,2282.8963121241036
2025-07-01,Pavement,Road,m2,1150.915095926926
2025-09-21,Anchorage,Railway,m2,2553.578069204723
2025-01-31,Anchorage,Railway,m2,450.70554457233845
2025-06-12,Subbase application,Road,m2,4465.936644169044
2025-08-03,Laying steel rail,Railway,m,3092.370610477911
2025-07-26,Laying steel rail,Railway,m,2796.473818607762
2025-05-25,Removing trees,Building,m2,4384.769352144025
2025-11-17,Anchorage,Railway,m2,243.9701660137461
2025-11-13,Terrain leveling,Building,m3,2504.8496323087884
2025-03-03,Laying steel rail,Railway,m,2276.812396112908
2025-11-27,Coat preparation,Road,L,1017.2270876350525
